Hora,KW,Meses,Días de la Semana,kW_promedio(Hora),kW_promedio(Meses),kW_promedio(Semana)
0,1324.14,1,1,3319.424849177331,2990.786090949821,5044.38390825688
0,1332.12,1,1,3319.424849177331,2990.786090949821,5044.38390825688
0,1318.15,1,1,3319.424849177331,2990.786090949821,5044.38390825688
0,1318.79,1,1,3319.424849177331,2990.786090949821,5044.38390825688
0,1355.49,1,1,3319.424849177331,2990.786090949821,5044.38390825688
1,1336.04,1,1,3325.8611461187215,2990.786090949821,5044.38390825688
1,1312.01,1,1,3325.8611461187215,2990.786090949821,5044.38390825688
1,1314.32,1,1,3325.8611461187215,2990.786090949821,5044.38390825688
1,1311.87,1,1,3325.8611461187215,2990.786090949821,5044.38390825688
1,1321.39,1,1,3325.8611461187215,2990.786090949821,5044.38390825688
1,1307.96,1,1,3325.8611461187215,2990.786090949821,5044.38390825688
2,1308.79,1,1,3353.5758538812784,2990.786090949821,5044.38390825688
2,1304.66,1,1,3353.5758538812784,2990.786090949821,5044.38390825688
2,1310.04,1,1,3353.5758538812784,2990.786090949821,5044.38390825688
2,1297.91,1,1,3353.5758538812784,2990.786090949821,5044.38390825688
2,1289.7,1,1,3353.5758538812784,2990.786090949821,5044.38390825688
2,1271.48,1,1,3353.5758538812784,2990.786090949821,5044.38390825688
3,1271.56,1,1,3341.835109589041,2990.786090949821,5044.38390825688
3,1267.34,1,1,3341.835109589041,2990.786090949821,5044.38390825688
3,1265.82,1,1,3341.835109589041,2990.786090949821,5044.38390825688
3,1259.03,1,1,3341.835109589041,2990.786090949821,5044.38390825688
3,1268.29,1,1,3341.835109589041,2990.786090949821,5044.38390825688
3,1305.21,1,1,3341.835109589041,2990.786090949821,5044.38390825688
4,1272.76,1,1,3441.449703196347,2990.786090949821,5044.38390825688
4,1247.34,1,1,3441.449703196347,2990.786090949821,5044.38390825688
4,1264.3,1,1,3441.449703196347,2990.786090949821,5044.38390825688
4,1258.15,1,1,3441.449703196347,2990.786090949821,5044.38390825688
4,1239.91,1,1,3441.449703196347,2990.786090949821,5044.38390825688
4,1273.5,1,1,3441.449703196347,2990.786090949821,5044.38390825688
5,1280.78,1,1,3782.7966301369866,2990.786090949821,5044.38390825688
5,1339.42,1,1,3782.7966301369866,2990.786090949821,5044.38390825688
5,1381.78,1,1,3782.7966301369866,2990.786090949821,5044.38390825688
5,1435.52,1,1,3782.7966301369866,2990.786090949821,5044.38390825688
5,1391.51,1,1,3782.7966301369866,2990.786090949821,5044.38390825688
5,1304.56,1,1,3782.7966301369866,2990.786090949821,5044.38390825688
6,1284.81,1,1,4435.286328767123,2990.786090949821,5044.38390825688
6,1297.82,1,1,4435.286328767123,2990.786090949821,5044.38390825688
6,1310.55,1,1,4435.286328767123,2990.786090949821,5044.38390825688
6,1328.24,1,1,4435.286328767123,2990.786090949821,5044.38390825688
6,1375.61,1,1,4435.286328767123,2990.786090949821,5044.38390825688
6,1504.97,1,1,4435.286328767123,2990.786090949821,5044.38390825688
7,1508.57,1,1,4989.990867976245,2990.786090949821,5044.38390825688
7,1465.52,1,1,4989.990867976245,2990.786090949821,5044.38390825688
7,1514.98,1,1,4989.990867976245,2990.786090949821,5044.38390825688
7,1462.62,1,1,4989.990867976245,2990.786090949821,5044.38390825688
7,1513.81,1,1,4989.990867976245,2990.786090949821,5044.38390825688
7,1565.33,1,1,4989.990867976245,2990.786090949821,5044.38390825688
8,1588.56,1,1,5308.418885844749,2990.786090949821,5044.38390825688
8,1606.04,1,1,5308.418885844749,2990.786090949821,5044.38390825688
8,1608.36,1,1,5308.418885844749,2990.786090949821,5044.38390825688
8,1622.76,1,1,5308.418885844749,2990.786090949821,5044.38390825688
8,1626.82,1,1,5308.418885844749,2990.786090949821,5044.38390825688
8,1588.96,1,1,5308.418885844749,2990.786090949821,5044.38390825688
9,1587.79,1,1,5479.359068067611,2990.786090949821,5044.38390825688
9,1557.1,1,1,5479.359068067611,2990.786090949821,5044.38390825688
9,1587.78,1,1,5479.359068067611,2990.786090949821,5044.38390825688
9,1632.68,1,1,5479.359068067611,2990.786090949821,5044.38390825688
9,1643.5,1,1,5479.359068067611,2990.786090949821,5044.38390825688
9,1597.72,1,1,5479.359068067611,2990.786090949821,5044.38390825688
10,1643.44,1,1,5454.895655550479,2990.786090949821,5044.38390825688
10,1622.77,1,1,5454.895655550479,2990.786090949821,5044.38390825688
10,1664.14,1,1,5454.895655550479,2990.786090949821,5044.38390825688
10,1697.39,1,1,5454.895655550479,2990.786090949821,5044.38390825688
10,1673.29,1,1,5454.895655550479,2990.786090949821,5044.38390825688
10,1674.93,1,1,5454.895655550479,2990.786090949821,5044.38390825688
11,1649.08,1,1,5369.6498812785385,2990.786090949821,5044.38390825688
11,1625.96,1,1,5369.6498812785385,2990.786090949821,5044.38390825688
11,1642.76,1,1,5369.6498812785385,2990.786090949821,5044.38390825688
11,1703.23,1,1,5369.6498812785385,2990.786090949821,5044.38390825688
11,1674.77,1,1,5369.6498812785385,2990.786090949821,5044.38390825688
11,1668.44,1,1,5369.6498812785385,2990.786090949821,5044.38390825688
12,1663.69,1,1,5347.095989036089,2990.786090949821,5044.38390825688
12,1682.57,1,1,5347.095989036089,2990.786090949821,5044.38390825688
12,1759.1,1,1,5347.095989036089,2990.786090949821,5044.38390825688
12,1777.48,1,1,5347.095989036089,2990.786090949821,5044.38390825688
